id,student_id,skill_proficiency,created_at
017c3856-2af3-48eb-9b98-9f3805b05276,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.52,""2a"":0.38,""2b"":0.1,""3a"":0.28}",2026-05-20 03:15:37.510178
029205d9-dded-4265-aa52-78d30969b1b2,d39a8b6c-74a4-4a8b-ac38-6ceb71b4354d,"{""1a"":0.1,""2a"":-0.02,""2b"":0.1}",2026-05-21 02:31:23.636311
02c09933-a2f2-47f6-870a-996230798d2f,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.45,""2a"":0.24,""2b"":0.13,""3a"":0.36}",2026-05-13 20:33:18.159838
08104449-7e1c-43d9-8ca1-6e951889ecf5,b3fd9bd7-d975-4922-b6a8-e588e4c0f5ad,"{""2a"":0.11,""2b"":1,""3a"":-0.12}",2026-05-19 01:37:11.037753
0e37da27-baa3-4988-a4c8-99127834c77c,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.5,""2a"":0.38,""2b"":0.1,""3a"":0.28}",2026-05-19 02:37:44.964935
120c806d-aa67-4858-8ba1-b710404caf31,b3fd9bd7-d975-4922-b6a8-e588e4c0f5ad,"{""2a"":0.11,""3a"":-0.12}",2026-05-19 01:30:37.821166
15ecac52-8ef8-4448-979a-3b5e6f39635d,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.56,""2b"":0.1,""3a"":0.28}",2026-05-20 05:56:27.591248
1632540b-943b-447a-b2f8-638fdce97736,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.61,""2b"":0.1,""3a"":0.28}",2026-05-20 16:23:06.342394
16edac6f-61f4-4879-949f-fe54451ab4ca,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.79,""2b"":0.1,""3a"":0.28}",2026-05-24 01:42:21.842743
20b86bfe-7f08-4bb8-aafa-57b182305aac,063b47d1-94bb-4248-803a-a1393cff0085,"{""1a"":0.03,""2b"":0.03}",2026-05-31 20:18:54.414803
20d9a2d3-865b-42cc-ac52-38b2c2b9ba3d,59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.9,""2b"":0.1,""3a"":0.28}",2026-06-01 02:25:21.180666
