id,session_id,node,correct,difficulty,response_time,reward,created_at
003133c1-a141-4163-95b7-d29319dd0a30,88badbd0-3bb1-40fe-90a0-2283fcbbd515,2a,true,1,6159,0.53,2026-05-26 13:50:16.793
00bab9be-4556-4a20-8707-ddafe09ba56c,385b9b0f-a03b-43e0-bea3-7c91eb219d60,2b,true,1,6303,0.71,2026-05-25 14:39:05.552
013d157e-5964-4721-a93b-294293d73019,02e5a5e0-d51e-427c-8d36-524c164a21c5,1a,true,1,15140,1.07,2026-05-12 05:25:47.16
01534171-6df0-41cf-b1b0-bf94e05cfa97,116051cc-fac5-4e4a-91ec-6d65bbe6d61d,2b,true,1,13976,1.01,2026-05-19 01:37:11.067
016ca3be-f154-4bdd-8032-9a7bef4bf16d,b703c3ab-d1d2-49be-a6dc-48c57969c09e,1A,true,1,22115,1.13,2026-05-12 02:19:52.091
01fd4acf-62dd-4726-aa81-afb528591713,88badbd0-3bb1-40fe-90a0-2283fcbbd515,2a,true,1,14496,0.53,2026-05-26 13:50:16.793
02a306a3-6699-44ac-9b05-a921fea5fe60,d7f7110d-2265-412b-96d7-3fe611cf9134,2a,false,2,1315,0.83,2026-05-19 02:42:30.486
02ab20ab-062b-4f32-84bb-54c5d23f8e9c,c10d115a-5474-417c-83ee-59939f7aadbf,1a,true,1,4158,0.9,2026-05-25 14:40:26.794
02bd6074-c874-47e3-9b21-9db34b8675ca,1a41e280-39b0-4c0d-a100-36904450a9e0,2a,true,1,15390,0.66,2026-05-19 01:30:37.927
02f8d116-e8f7-477d-990d-d340aba6dbdd,9195b753-aa1d-4fbd-b60e-bc77ec9e2c65,2a,false,2,1117,0.5,2026-05-19 01:40:47.616
03906487-c684-425d-9aaf-b6bfb01b2ec0,3256667d-7f91-4972-8a21-a6694e7e4e08,1A,false,1,2775,0.6,2026-05-12 02:04:32.931
03bbb219-9bf1-47e5-a41b-ec9d15260af0,5f75d70b-b062-4caf-80e8-cf8f8211c1a0,2b,false,1,1008,0,2026-05-20 05:28:56.749
03eb81da-188c-4032-9a99-7a2d14c8c318,7247acf6-622b-4df7-83ce-c08ca19c9c5a,2b,true,1,4645,1.1,2026-05-21 02:31:23.739
03fcf84a-f26b-4acd-957b-984cca535062,58a73aec-a1a6-43f4-bc42-20f8b0293e0f,2b,false,1,1901,0,2026-05-12 05:21:42.436
04d78540-8555-448d-a11a-8a761a468251,8ed27e5d-0a8c-4b98-ad19-18ec451c31d4,2b,false,1,1373,0.3,2026-05-21 03:43:45.048
04eb3105-2109-4b4f-ad9d-f6e10501ccf9,68aa2d20-7562-4ca0-978a-fbf858506ba4,1a,true,1,10791,1.2,2026-05-24 21:40:04.067
053eea34-a55f-41b4-a64c-d37ed1bdd023,e728bb9c-5d16-4cae-bd1c-ea08c242d525,2a,false,1,10937,0.52,2026-05-25 14:40:15.388
056804fc-a5e2-47fd-b24a-0e38fd24606c,62802478-3395-48e2-ba7a-5950c28198b4,1a,true,2,4961,1.1,2026-05-13 20:33:18.241
059a4463-f19a-48e2-b00b-1ff3afade604,116051cc-fac5-4e4a-91ec-6d65bbe6d61d,2b,false,1,12001,1.01,2026-05-19 01:37:11.067
05a9864e-fa6d-4e9f-9515-257b54297f2f,116051cc-fac5-4e4a-91ec-6d65bbe6d61d,2b,true,1,12569,1.01,2026-05-19 01:37:11.067
062cfae9-11cf-40f9-a35f-8bd36a98a6f6,e728bb9c-5d16-4cae-bd1c-ea08c242d525,1a,false,1,38933,0.33,2026-05-25 14:40:15.388
06acbf64-3d0d-4e30-a8ea-a33b0376bfac,c68ef864-2324-4553-8f9f-671c03d97552,3a,true,1,25951,0.78,2026-05-13 16:25:30.723
06b675c7-e52f-463a-ab98-99a2d689f21c,c68ef864-2324-4553-8f9f-671c03d97552,3a,true,1,18018,0.78,2026-05-13 16:25:30.722
06cc5c00-8a9b-4b58-83c9-b470de9a5658,c10d115a-5474-417c-83ee-59939f7aadbf,2a,true,1,10200,0.5,2026-05-25 14:40:26.794
06dc351f-0c2a-4f59-bc1c-fca61121e4a7,c68ef864-2324-4553-8f9f-671c03d97552,3a,false,1,96537,0.78,2026-05-13 16:25:30.723
07b02690-3e97-495a-b9f5-222ce33522f6,e3a2e35e-f8db-4b3f-b01a-292d13a489aa,1a,true,2,3348,1.23,2026-05-14 02:40:06.685
0839774c-2461-4fbf-960c-006343d20a65,c10d115a-5474-417c-83ee-59939f7aadbf,3a,false,1,4733,0,2026-05-25 14:40:26.794
0894ce69-44a2-47e3-b13e-73e31c4a5eee,047ee5eb-7990-4bf3-8d37-3cb3293daf73,1a,false,1,38522,0.43,2026-05-25 22:35:19.718
0899ab3e-76b6-4411-9881-71964d30b4d5,0566a902-0011-4de3-bd57-939a58c33a4e,3a,true,1,232193,0.86,2026-05-12 05:43:51.737
08a6645d-ea41-4720-ae01-6abe62c5e5cc,e728bb9c-5d16-4cae-bd1c-ea08c242d525,1a,false,1,37220,0.33,2026-05-25 14:40:15.388
09100057-05bf-481a-a7bb-9b24566c1749,0566a902-0011-4de3-bd57-939a58c33a4e,3a,false,1,5342,0.86,2026-05-12 05:43:51.737
09c4f676-3fee-4e9a-ac7a-7aefe2f190ea,116051cc-fac5-4e4a-91ec-6d65bbe6d61d,2b,true,1,9212,1.01,2026-05-19 01:37:11.067
0a0ecffe-b7bc-4215-9433-408313ca9adf,c4bb46ea-6d58-4f36-8d32-0336acae35dd,2b,true,1,18899,0.7,2026-06-02 18:54:24.546
0a61514a-1768-4ee0-bb34-e44c11cb45fb,116051cc-fac5-4e4a-91ec-6d65bbe6d61d,2b,true,1,6157,1.01,2026-05-19 01:37:11.067
0aab0060-49ec-49d4-8dd0-4e5c75841c1e,86dde0f8-8878-4569-9e9c-9446e1bf23ce,1a,false,3,3047,0.82,2026-05-19 02:46:38.045
0bb2b8f9-57fe-42c8-b76d-c128ebce76bb,c4bb46ea-6d58-4f36-8d32-0336acae35dd,2a,true,1,12132,0.83,2026-06-02 18:54:24.545
0c243a6e-b25a-42a4-a670-9f4ecc698570,3b66e181-a187-4ac9-8222-4f978449ad19,3a,false,2,939,0.5,2026-05-19 01:41:03.818
0c2f93f1-177d-49c6-afdf-52333ad47e4c,dfffb524-cd89-4b4b-bc49-a326eda236f4,2a,false,1,29913,0.44,2026-05-25 22:39:04.313
0c6a4ca3-71e1-4f08-a989-d73905ccaa7e,0566a902-0011-4de3-bd57-939a58c33a4e,3a,true,1,9957,0.86,2026-05-12 05:43:51.737
0c7b80fb-31b6-4ea4-93c0-d0d23d0d9b3b,c10d115a-5474-417c-83ee-59939f7aadbf,2b,false,1,5788,0.49,2026-05-25 14:40:26.794
0d0f9a29-7522-4fd7-98f8-1eb6160e45e7,385b9b0f-a03b-43e0-bea3-7c91eb219d60,3a,true,1,2677,0.55,2026-05-25 14:39:05.552
0ea47d63-b427-4c91-8507-c0c763e42e42,653272f0-ff5c-46a8-871e-e58aee6273ba,2b,false,1,7821,0.52,2026-05-25 14:40:21.642
0ecd0c46-77fc-4ce3-ad39-a732c7f5c752,8ed27e5d-0a8c-4b98-ad19-18ec451c31d4,1a,false,1,8997,0.55,2026-05-21 03:43:45.048
0f177e2e-9f22-46f6-936e-e3e70ccb4301,116051cc-fac5-4e4a-91ec-6d65bbe6d61d,2b,false,1,20562,1.01,2026-05-19 01:37:11.067
0f17d31f-dc48-4001-bbe4-63f685e5ec84,5f55ef42-e17a-4982-9cbc-88961832b792,2a,false,3,1342,0.5,2026-05-20 04:36:56.222
0f44b1c4-c856-44d3-b7bf-4f15224f86fe,5f75d70b-b062-4caf-80e8-cf8f8211c1a0,1a,true,1,1110,1,2026-05-20 05:28:56.749
100ec855-0d92-4252-97b2-bd98db05b3c2,88badbd0-3bb1-40fe-90a0-2283fcbbd515,2a,true,1,4479,0.53,2026-05-26 13:50:16.793
10135185-3374-44ac-abfb-45ae9b1c6382,23ddf0b2-1d9b-4104-9b07-a2e9da3a79ac,1a,false,3,5849,0.97,2026-05-20 04:28:18.692
