id,student_id,total_reward,node_rewards,success_rate,started_at,ended_at,created_at
02a0caf4-97d8-428e-a36d-c02c6f5f3bea,0d742029-1e08-45ed-9edc-2fc43d544633,2.4,"{""1a"":0,""2a"":0,""2b"":0.6,""3a"":1.2}",0.286,2026-05-21 03:42:48.718066,,2026-05-21 03:42:48.711
02c981d3-8dc4-4a5c-bce2-1548b8241197,063b47d1-94bb-4248-803a-a1393cff0085,2,"{""1a"":0.6,""2b"":0.4}",0.5,2026-05-31 20:18:54.473252,,2026-05-31 20:18:54.454
02e5a5e0-d51e-427c-8d36-524c164a21c5,59b885c5-a486-4521-a141-9b48cc0b7b3d,3.2,"{""1a"":1.07}",1,2026-05-12 05:25:49.147769,,2026-05-12 05:25:46.988
047ee5eb-7990-4bf3-8d37-3cb3293daf73,e53b248a-25e7-40b5-814f-d65394615c3c,6.3,"{""1a"":0.43,""2a"":1.1,""2b"":1.2,""3a"":1.2}",0.75,2026-05-25 22:35:19.693434,,2026-05-25 22:35:19.683
0566a902-0011-4de3-bd57-939a58c33a4e,59b885c5-a486-4521-a141-9b48cc0b7b3d,9.5,"{""3a"":0.86}",0.727,2026-05-12 05:43:53.73726,,2026-05-12 05:43:51.543
08051ed0-1a00-45ef-ba4e-ece868c3bdc9,59b885c5-a486-4521-a141-9b48cc0b7b3d,6.3,"{""1a"":1,""2a"":0.2,""2b"":0.67,""3a"":1.03}",0.5,2026-05-12 05:53:27.658291,,2026-05-12 05:53:25.461
0a95c0d5-755f-4cc4-8309-fc2925e3e717,59b885c5-a486-4521-a141-9b48cc0b7b3d,2,"{""2a"":1}",0.5,2026-05-20 04:36:48.774425,,2026-05-20 04:36:45.785
0ac498ec-9e35-4667-aef2-f5cd1d76ce6d,59b885c5-a486-4521-a141-9b48cc0b7b3d,1.5,"{""1a"":1.5}",1,2026-05-20 04:11:37.21309,,2026-05-20 04:11:34.277
0b362aee-bed8-4115-b912-c78554b9dfb2,59b885c5-a486-4521-a141-9b48cc0b7b3d,1.4,"{""3A"":0.7}",0.5,2026-05-12 05:17:24.888652,,2026-05-12 05:17:22.731
0ef91cde-10f5-4371-bcfd-6a1fea879851,59b885c5-a486-4521-a141-9b48cc0b7b3d,0.5,"{""2a"":0.5}",0,2026-05-20 03:49:17.232822,,2026-05-20 03:49:14.325
111542fb-ee9a-4204-b679-07ad145cfca4,59b885c5-a486-4521-a141-9b48cc0b7b3d,1.5,"{""1a"":1.5}",1,2026-05-20 04:12:45.130597,,2026-05-20 04:12:42.183
116051cc-fac5-4e4a-91ec-6d65bbe6d61d,b3fd9bd7-d975-4922-b6a8-e588e4c0f5ad,30.2,"{""2b"":1.01}",0.833,2026-05-19 01:37:11.060196,,2026-05-19 01:37:11.048
138787dc-a4b5-411b-949a-518b768e9dd4,59b885c5-a486-4521-a141-9b48cc0b7b3d,0,{},0,2026-05-14 03:13:36.931193,,2026-05-14 03:13:36.919
15350eaa-c240-408f-8349-ef109467d00e,fb60c9a7-813e-4397-b185-20ab9bce2c3c,1.2,"{""2a"":0.6}",0.5,2026-05-20 19:48:13.518384,,2026-05-20 19:48:13.495
158c6a41-03a9-4716-ae0b-f0f91e31274b,0d742029-1e08-45ed-9edc-2fc43d544633,7.6,"{""1a"":0.37,""2b"":0.57,""3a"":1.03}",0.667,2026-05-21 03:39:25.798712,,2026-05-21 03:39:25.79
