student_id,skill_proficiency,updated_at
063b47d1-94bb-4248-803a-a1393cff0085,"{""1a"":0.08,""2a"":0.13,""2b"":0.22,""3a"":0.2}",2026-06-02 18:54:24.305048
0d742029-1e08-45ed-9edc-2fc43d544633,"{""1a"":0.01,""2a"":-0.02,""2b"":0.18,""3a"":0.18}",2026-05-21 03:44:07.846708
1cd609cf-220b-4cca-9828-8dc713c96518,"{""1A"":0.05}",2026-05-12 01:43:08.161207
22b8b5e1-bc2d-42d8-a039-73526defa74d,"{""1a"":0.05,""2a"":0.25,""2b"":0.27,""3a"":0.2}",2026-05-25 14:39:05.454661
240e26f2-9371-4d04-ac1e-f0bdabd74804,"{""1a"":0.05,""2b"":0.01,""3a"":0.05}",2026-06-05 18:07:08.317887
2f0365ea-a5ff-4b29-a672-2d9f2e9d73e8,"{""1a"":0.01,""2a"":-0.01,""2b"":-0.05,""3a"":0.13}",2026-06-05 03:03:24.105766
34ec08ca-7564-4eca-b717-c1cdb2568607,{},2026-05-25 14:34:43.67
3792864f-3238-40f9-8128-74a079a242c1,"{""1a"":0.05,""2a"":0.28,""2b"":0.09,""3a"":0.08}",2026-05-25 14:40:21.615754
59b885c5-a486-4521-a141-9b48cc0b7b3d,"{""1a"":0.7,""2a"":0.99,""2b"":0.1,""3a"":0.28}",2026-06-05 02:59:55.247453
5e32fd5e-b454-4436-ae77-58f2114bed42,{},2026-05-14 03:59:29.708
6382470f-620e-441a-bc0b-75a9dd57f138,"{""1a"":0.29,""2a"":0.19,""2b"":0.13,""3a"":0.01}",2026-05-26 13:51:49.298589
6bdb2233-6cff-41f4-abad-ee369e61ea65,{},2026-05-25 14:34:43.708
761f8bff-82b6-420c-aaf0-d00b8f193205,{},2026-05-22 05:49:16.594
863be68b-9e0a-4751-9b1f-ffbc07162fee,{},2026-05-14 22:42:21.699
89ee0f3c-ffb5-4f85-acd1-a7658abc09f6,{},2026-05-13 16:52:46.019
903efe0e-7e7a-4c71-aff4-ff7c31298f41,{},2026-05-14 01:44:01.768
98c87153-7818-42f1-8c09-fda9838e598f,{},2026-05-13 16:16:03.995
9a184ed7-1429-4d49-a1f9-2ac59a28cc30,"{""1a"":0.13,""2a"":0.04,""2b"":0,""3a"":-0.06}",2026-05-25 14:40:26.751878
b3fd9bd7-d975-4922-b6a8-e588e4c0f5ad,"{""2a"":0.11,""2b"":1,""3a"":-0.12}",2026-05-19 01:37:11.037753
bc1e82bc-0efb-4981-87cb-70db4b77f42f,"{""1a"":0.03,""2a"":-0.01,""2b"":0.01,""3a"":0.05}",2026-05-24 03:47:46.470073
bc524b28-e88b-4548-bbd3-f3babf00539f,"{""3a"":0.93}",2026-05-13 16:25:30.632106
c5129d74-1c0a-4067-b619-dfadbd918750,"{""1a"":0.07,""2a"":0.09,""2b"":0.02,""3a"":0.07}",2026-05-26 13:55:56.392875
d09b18d6-2a99-46b0-9a76-f0c710db48f9,"{""1a"":0.06,""2a"":0.04,""2b"":0.08,""3a"":0.11}",2026-05-25 14:40:15.359972
d39a8b6c-74a4-4a8b-ac38-6ceb71b4354d,"{""1a"":0.25,""2a"":0.13,""2b"":0.28,""3a"":0.2}",2026-05-24 21:40:03.978292
d6d8224e-a0f7-44cc-a2da-b5bc6caf3027,{},2026-05-13 21:39:17.318
e53b248a-25e7-40b5-814f-d65394615c3c,"{""1a"":0.11,""2a"":0.14,""2b"":0.01,""3a"":0.15}",2026-05-25 22:44:39.489403
e67fb5bd-9bbf-4ffc-9b26-20767063beab,"{""2a"":0.05}",2026-05-13 15:55:15.044257
e743d197-a48b-47d5-95e6-45dc978cc348,{},2026-05-25 14:28:09.737
fb60c9a7-813e-4397-b185-20ab9bce2c3c,"{""2a"":0.03}",2026-05-20 19:48:13.452181
